Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:00:14.115000,18.2,49,1017.2,FALSE,23.8,58,1.5
0 days 01:02:14.121000,18.3,49,1017,FALSE,23.8,33,1.1
0 days 01:03:14.127000,18.3,49,1017.1,FALSE,23.8,89,1.5
0 days 01:05:14.127000,18.3,49,1017,FALSE,23.7,24,0.9
0 days 01:07:14.127000,18.3,50,1017.1,FALSE,23.5,40,1.5
0 days 01:08:14.122000,18.3,50,1017.1,FALSE,23.5,236,1.1
0 days 01:10:14.127000,18.3,50,1017.1,FALSE,23.5,13,0.5
0 days 01:12:14.127000,18.2,50,1017.2,FALSE,23.7,126,1.1
0 days 01:13:14.142000,18.2,50,1017.2,FALSE,23.5,98,0.4
0 days 01:15:14.132000,18.2,50,1017.2,FALSE,23.5,330,0.5
0 days 01:16:14.177000,18.2,50,1017.2,FALSE,23.5,330,0.5
0 days 01:18:14.133000,18.2,50,1017.2,FALSE,23.5,157,0.5
0 days 01:20:14.140000,18.3,50,1017.2,FALSE,23.5,42,0.4
0 days 01:21:14.145000,18.2,50,1017.1,FALSE,23.4,123,1
0 days 01:23:14.142000,18.1,50,1017.1,FALSE,23.5,0,0.4
0 days 01:25:14.135000,18.1,50,1017.2,FALSE,23.2,236,0.4
0 days 01:26:14.136000,18.1,50,1017.2,FALSE,23.3,150,0.3
0 days 01:28:14.122000,18.1,50,1017.2,FALSE,23.4,20,0.4
0 days 01:30:14.138000,18.1,50,1017.1,FALSE,23.3,71,0.5
0 days 01:31:14.139000,18.1,50,1017.1,FALSE,23.3,47,0.6
0 days 01:33:14.145000,18.1,50,1017.2,FALSE,23.1,65,0.5
0 days 01:35:14.144000,18.1,50,1017.2,FALSE,23.2,37,0.5
0 days 01:36:14.143000,18.1,50,1017.1,FALSE,23.2,71,0.9
0 days 01:38:14.153000,18.1,50,1017.2,FALSE,23,25,0.3
0 days 01:39:14.151000,18.1,49,1017.2,FALSE,23,46,0.9
0 days 01:41:14.154000,18.1,49,1017.2,FALSE,22.9,46,0.7
0 days 01:42:14.155000,18.1,49,1017.2,FALSE,22.9,29,0
0 days 01:44:14.146000,18.1,49,1017.2,FALSE,22.9,0,0
0 days 01:46:14.151000,18.1,49,1017.2,FALSE,22.8,0,0.8
0 days 01:47:14.178000,18,49,1017.3,FALSE,22.8,45,0.6
0 days 01:49:14.206000,18,49,1017.3,FALSE,22.6,96,0.8
0 days 01:50:14.198000,18,49,1017.3,FALSE,22.7,53,0.5
0 days 01:52:14.222000,18,49,1017.3,FALSE,22.7,82,0.8
0 days 01:54:14.250000,18,49,1017.3,FALSE,22.7,27,0.7
0 days 01:55:14.254000,17.9,49,1017.3,FALSE,22.7,29,0
0 days 01:57:14.264000,18,49,1017.4,FALSE,22.6,132,0.7
0 days 01:58:14.274000,18,50,1017.4,FALSE,22.6,41,0.7
0 days 02:00:14.284000,17.9,50,1017.4,FALSE,22.5,156,0.4
0 days 02:02:14.282000,17.9,50,1017.4,FALSE,22.6,59,0.8
0 days 02:04:14.293000,17.9,50,1017.4,FALSE,22.4,50,1
0 days 02:05:14.296000,17.9,50,1017.4,FALSE,22.4,33,0.4
0 days 02:07:14.293000,17.9,50,1017.4,FALSE,22.4,0,0.4
0 days 02:08:14.284000,17.9,50,1017.4,FALSE,22.4,50,0
0 days 02:10:14.288000,17.9,50,1017.4,FALSE,22.2,141,0.6
0 days 02:11:14.294000,17.9,50,1017.4,FALSE,22.2,1,0.4
0 days 02:13:14.314000,17.8,51,1017.5,FALSE,22.1,0,0.5
0 days 02:15:14.294000,17.8,51,1017.5,FALSE,22,140,0.3
0 days 02:16:14.296000,17.8,51,1017.5,FALSE,21.9,0,0.7
0 days 02:18:14.299000,17.7,51,1017.5,FALSE,22,356,0
0 days 02:19:14.302000,17.7,51,1017.4,FALSE,22,0,0.4
0 days 02:21:14.295000,17.7,51,1017.4,FALSE,21.9,0,0
0 days 02:23:14.293000,17.6,51,1017.5,FALSE,22,138,0.4
0 days 02:24:14.299000,17.6,51,1017.5,FALSE,21.9,0,0.4
0 days 02:26:14.302000,17.6,51,1017.5,FALSE,21.9,330,0
0 days 02:27:14.309000,17.6,51,1017.5,FALSE,21.9,213,0.3
0 days 02:29:14.305000,17.6,51,1017.5,FALSE,21.9,12,0
0 days 02:30:14.302000,17.6,51,1017.5,FALSE,21.9,115,0.4
0 days 01:00:14.115000,18.2,49,1017.2,FALSE,23.8,58,1.5
0 days 01:02:14.121000,18.3,49,1017,FALSE,23.8,33,1.1
0 days 01:04:14.121000,18.3,49,1017,FALSE,23.8,32,1
0 days 01:05:14.127000,18.3,49,1017,FALSE,23.7,24,0.9
0 days 01:07:14.127000,18.3,50,1017.1,FALSE,23.5,40,1.5
0 days 01:08:14.122000,18.3,50,1017.1,FALSE,23.5,236,1.1
0 days 01:10:14.127000,18.3,50,1017.1,FALSE,23.5,13,0.5
0 days 01:12:14.127000,18.2,50,1017.2,FALSE,23.7,126,1.1
0 days 01:13:14.142000,18.2,50,1017.2,FALSE,23.5,98,0.4
0 days 01:15:14.132000,18.2,50,1017.2,FALSE,23.5,330,0.5
0 days 01:17:14.141000,18.2,50,1017.2,FALSE,23.4,155,0.6
0 days 01:18:14.133000,18.2,50,1017.2,FALSE,23.5,157,0.5
0 days 01:20:14.140000,18.3,50,1017.2,FALSE,23.5,42,0.4
0 days 01:22:14.142000,18.2,50,1017.2,FALSE,23.3,0,0.5
0 days 01:23:14.142000,18.1,50,1017.1,FALSE,23.5,0,0.4
0 days 01:25:14.135000,18.1,50,1017.2,FALSE,23.2,236,0.4
0 days 01:27:14.137000,18.1,51,1017.1,FALSE,23.4,178,0.7
0 days 01:28:14.122000,18.1,50,1017.2,FALSE,23.4,20,0.4
0 days 01:30:14.138000,18.1,50,1017.1,FALSE,23.3,71,0.5
0 days 01:31:14.139000,18.1,50,1017.1,FALSE,23.3,47,0.6
0 days 01:33:14.145000,18.1,50,1017.2,FALSE,23.1,65,0.5
0 days 01:35:14.144000,18.1,50,1017.2,FALSE,23.2,37,0.5
0 days 01:36:14.143000,18.1,50,1017.1,FALSE,23.2,71,0.9
0 days 01:38:14.153000,18.1,50,1017.2,FALSE,23,25,0.3
0 days 01:39:14.151000,18.1,49,1017.2,FALSE,23,46,0.9
0 days 01:41:14.154000,18.1,49,1017.2,FALSE,22.9,46,0.7
0 days 01:43:14.147000,18.1,49,1017.2,FALSE,22.9,246,0.7
0 days 01:44:14.146000,18.1,49,1017.2,FALSE,22.9,0,0
0 days 01:46:14.151000,18.1,49,1017.2,FALSE,22.8,0,0.8
0 days 01:47:14.178000,18,49,1017.3,FALSE,22.8,45,0.6
0 days 01:49:14.206000,18,49,1017.3,FALSE,22.6,96,0.8
0 days 01:51:14.211000,18,49,1017.2,FALSE,22.7,30,0.6
0 days 01:52:14.222000,18,49,1017.3,FALSE,22.7,82,0.8
0 days 01:54:14.250000,18,49,1017.3,FALSE,22.7,27,0.7
0 days 01:56:14.267000,18,49,1017.4,FALSE,22.7,328,0.6
0 days 01:57:14.264000,18,49,1017.4,FALSE,22.6,132,0.7
0 days 01:59:14.291000,18,50,1017.5,FALSE,22.6,13,0.9
0 days 02:01:14.291000,17.9,50,1017.4,FALSE,22.6,66,0.4
0 days 02:02:14.282000,17.9,50,1017.4,FALSE,22.6,59,0.8
0 days 02:04:14.293000,17.9,50,1017.4,FALSE,22.4,50,1
0 days 02:05:14.296000,17.9,50,1017.4,FALSE,22.4,33,0.4
0 days 02:07:14.293000,17.9,50,1017.4,FALSE,22.4,0,0.4
0 days 02:09:14.283000,17.9,50,1017.4,FALSE,22.2,10,0.5
0 days 02:10:14.288000,17.9,50,1017.4,FALSE,22.2,141,0.6
0 days 02:12:14.323000,17.9,50,1017.5,FALSE,22.1,0,0
0 days 02:13:14.314000,17.8,51,1017.5,FALSE,22.1,0,0.5
0 days 02:15:14.294000,17.8,51,1017.5,FALSE,22,140,0.3
0 days 02:16:14.296000,17.8,51,1017.5,FALSE,21.9,0,0.7
0 days 02:18:14.299000,17.7,51,1017.5,FALSE,22,356,0
0 days 02:20:14.303000,17.7,51,1017.4,FALSE,21.9,148,0.5
0 days 02:21:14.295000,17.7,51,1017.4,FALSE,21.9,0,0
0 days 02:23:14.293000,17.6,51,1017.5,FALSE,22,138,0.4
0 days 02:24:14.299000,17.6,51,1017.5,FALSE,21.9,0,0.4
0 days 02:26:14.302000,17.6,51,1017.5,FALSE,21.9,330,0
0 days 02:28:14.305000,17.6,51,1017.5,FALSE,21.9,0,0.3
0 days 02:29:14.305000,17.6,51,1017.5,FALSE,21.9,12,0
0 days 02:31:14.307000,17.7,51,1017.5,FALSE,22,96,0
0 days 01:00:14.115000,18.2,49,1017.2,FALSE,23.8,58,1.5
0 days 01:02:14.121000,18.3,49,1017,FALSE,23.8,33,1.1
0 days 01:04:14.121000,18.3,49,1017,FALSE,23.8,32,1
0 days 01:05:14.127000,18.3,49,1017,FALSE,23.7,24,0.9
0 days 01:07:14.127000,18.3,50,1017.1,FALSE,23.5,40,1.5
0 days 01:08:14.122000,18.3,50,1017.1,FALSE,23.5,236,1.1
0 days 01:10:14.127000,18.3,50,1017.1,FALSE,23.5,13,0.5
0 days 01:12:14.127000,18.2,50,1017.2,FALSE,23.7,126,1.1
0 days 01:13:14.142000,18.2,50,1017.2,FALSE,23.5,98,0.4
0 days 01:15:14.132000,18.2,50,1017.2,FALSE,23.5,330,0.5
0 days 01:17:14.141000,18.2,50,1017.2,FALSE,23.4,155,0.6
0 days 01:18:14.133000,18.2,50,1017.2,FALSE,23.5,157,0.5
0 days 01:20:14.140000,18.3,50,1017.2,FALSE,23.5,42,0.4
0 days 01:21:14.145000,18.2,50,1017.1,FALSE,23.4,123,1
0 days 01:23:14.142000,18.1,50,1017.1,FALSE,23.5,0,0.4
0 days 01:25:14.135000,18.1,50,1017.2,FALSE,23.2,236,0.4
0 days 01:27:14.137000,18.1,51,1017.1,FALSE,23.4,178,0.7
0 days 01:28:14.122000,18.1,50,1017.2,FALSE,23.4,20,0.4
0 days 01:30:14.138000,18.1,50,1017.1,FALSE,23.3,71,0.5
0 days 01:31:14.139000,18.1,50,1017.1,FALSE,23.3,47,0.6
0 days 01:33:14.145000,18.1,50,1017.2,FALSE,23.1,65,0.5
0 days 01:35:14.144000,18.1,50,1017.2,FALSE,23.2,37,0.5
0 days 01:36:14.143000,18.1,50,1017.1,FALSE,23.2,71,0.9
0 days 01:38:14.153000,18.1,50,1017.2,FALSE,23,25,0.3
0 days 01:40:14.148000,18.1,49,1017.1,FALSE,23,47,0.7
0 days 01:41:14.154000,18.1,49,1017.2,FALSE,22.9,46,0.7
0 days 01:43:14.147000,18.1,49,1017.2,FALSE,22.9,246,0.7
0 days 01:44:14.146000,18.1,49,1017.2,FALSE,22.9,0,0
0 days 01:46:14.151000,18.1,49,1017.2,FALSE,22.8,0,0.8
0 days 01:48:14.196000,18,49,1017.2,FALSE,22.7,28,0.7
0 days 01:49:14.206000,18,49,1017.3,FALSE,22.6,96,0.8
0 days 01:51:14.211000,18,49,1017.2,FALSE,22.7,30,0.6
0 days 01:52:14.222000,18,49,1017.3,FALSE,22.7,82,0.8
0 days 01:54:14.250000,18,49,1017.3,FALSE,22.7,27,0.7
0 days 01:56:14.267000,18,49,1017.4,FALSE,22.7,328,0.6
0 days 01:57:14.264000,18,49,1017.4,FALSE,22.6,132,0.7
0 days 01:59:14.291000,18,50,1017.5,FALSE,22.6,13,0.9
0 days 02:01:14.291000,17.9,50,1017.4,FALSE,22.6,66,0.4
0 days 02:02:14.282000,17.9,50,1017.4,FALSE,22.6,59,0.8
0 days 02:04:14.293000,17.9,50,1017.4,FALSE,22.4,50,1
0 days 02:05:14.296000,17.9,50,1017.4,FALSE,22.4,33,0.4
0 days 02:07:14.293000,17.9,50,1017.4,FALSE,22.4,0,0.4
0 days 02:09:14.283000,17.9,50,1017.4,FALSE,22.2,10,0.5
0 days 02:10:14.288000,17.9,50,1017.4,FALSE,22.2,141,0.6
0 days 02:12:14.323000,17.9,50,1017.5,FALSE,22.1,0,0
0 days 02:13:14.314000,17.8,51,1017.5,FALSE,22.1,0,0.5
0 days 02:15:14.294000,17.8,51,1017.5,FALSE,22,140,0.3
0 days 02:17:14.300000,17.8,51,1017.4,FALSE,21.9,0,0.6
0 days 02:18:14.299000,17.7,51,1017.5,FALSE,22,356,0
0 days 02:20:14.303000,17.7,51,1017.4,FALSE,21.9,148,0.5
0 days 02:21:14.295000,17.7,51,1017.4,FALSE,21.9,0,0
0 days 02:23:14.293000,17.6,51,1017.5,FALSE,22,138,0.4
0 days 02:24:14.299000,17.6,51,1017.5,FALSE,21.9,0,0.4
0 days 02:26:14.302000,17.6,51,1017.5,FALSE,21.9,330,0
0 days 02:28:14.305000,17.6,51,1017.5,FALSE,21.9,0,0.3
0 days 02:29:14.305000,17.6,51,1017.5,FALSE,21.9,12,0
0 days 02:31:14.307000,17.7,51,1017.5,FALSE,22,96,0
0 days 01:00:14.115000,18.2,49,1017.2,FALSE,23.8,58,1.5
0 days 01:02:14.121000,18.3,49,1017,FALSE,23.8,33,1.1
0 days 01:04:14.121000,18.3,49,1017,FALSE,23.8,32,1
0 days 01:05:14.127000,18.3,49,1017,FALSE,23.7,24,0.9
0 days 01:07:14.127000,18.3,50,1017.1,FALSE,23.5,40,1.5
0 days 01:08:14.122000,18.3,50,1017.1,FALSE,23.5,236,1.1
0 days 01:10:14.127000,18.3,50,1017.1,FALSE,23.5,13,0.5
0 days 01:12:14.127000,18.2,50,1017.2,FALSE,23.7,126,1.1
0 days 01:13:14.142000,18.2,50,1017.2,FALSE,23.5,98,0.4
0 days 01:15:14.132000,18.2,50,1017.2,FALSE,23.5,330,0.5
0 days 01:17:14.141000,18.2,50,1017.2,FALSE,23.4,155,0.6
0 days 01:18:14.133000,18.2,50,1017.2,FALSE,23.5,157,0.5
0 days 01:20:14.140000,18.3,50,1017.2,FALSE,23.5,42,0.4
0 days 01:22:14.142000,18.2,50,1017.2,FALSE,23.3,0,0.5
0 days 01:23:14.142000,18.1,50,1017.1,FALSE,23.5,0,0.4
0 days 01:25:14.135000,18.1,50,1017.2,FALSE,23.2,236,0.4
0 days 01:27:14.137000,18.1,51,1017.1,FALSE,23.4,178,0.7
0 days 01:28:14.122000,18.1,50,1017.2,FALSE,23.4,20,0.4
0 days 01:30:14.138000,18.1,50,1017.1,FALSE,23.3,71,0.5
0 days 01:32:14.141000,18.1,50,1017.1,FALSE,23.2,27,0.7
0 days 01:33:14.145000,18.1,50,1017.2,FALSE,23.1,65,0.5
0 days 01:35:14.144000,18.1,50,1017.2,FALSE,23.2,37,0.5
0 days 01:36:14.143000,18.1,50,1017.1,FALSE,23.2,71,0.9
0 days 01:38:14.153000,18.1,50,1017.2,FALSE,23,25,0.3
0 days 01:40:14.148000,18.1,49,1017.1,FALSE,23,47,0.7
0 days 01:41:14.154000,18.1,49,1017.2,FALSE,22.9,46,0.7
0 days 01:43:14.147000,18.1,49,1017.2,FALSE,22.9,246,0.7
0 days 01:44:14.146000,18.1,49,1017.2,FALSE,22.9,0,0
0 days 01:46:14.151000,18.1,49,1017.2,FALSE,22.8,0,0.8
0 days 01:48:14.196000,18,49,1017.2,FALSE,22.7,28,0.7
0 days 01:49:14.206000,18,49,1017.3,FALSE,22.6,96,0.8
0 days 01:51:14.211000,18,49,1017.2,FALSE,22.7,30,0.6
0 days 01:53:14.241000,18,49,1017.3,FALSE,22.7,28,0.7
0 days 01:54:14.250000,18,49,1017.3,FALSE,22.7,27,0.7
0 days 01:56:14.267000,18,49,1017.4,FALSE,22.7,328,0.6
0 days 01:58:14.274000,18,50,1017.4,FALSE,22.6,41,0.7
0 days 01:59:14.291000,18,50,1017.5,FALSE,22.6,13,0.9
0 days 02:01:14.291000,17.9,50,1017.4,FALSE,22.6,66,0.4
0 days 02:02:14.282000,17.9,50,1017.4,FALSE,22.6,59,0.8
0 days 02:04:14.293000,17.9,50,1017.4,FALSE,22.4,50,1
0 days 02:06:14.286000,17.9,50,1017.4,FALSE,22.3,81,0.7
0 days 02:07:14.293000,17.9,50,1017.4,FALSE,22.4,0,0.4
0 days 02:09:14.283000,17.9,50,1017.4,FALSE,22.2,10,0.5
0 days 02:10:14.288000,17.9,50,1017.4,FALSE,22.2,141,0.6
